Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Variant Image
perfetto-ros-2-w-vest,PERFETTO RoS 2 W VEST,Un modèle conçu pour être le gilet parfait. Tissu GORE-TEX INFINIUM™ WINDSTOPPER® assurant la protection contre le vent et la pluie sur le devant et tissu respirant et déperlant à base de nanotechnologies dans le dos. Ce modèle à la coupe extensible n’occupe que la moitié d’une poche lorsque l’on n’en a pas besoin. Un article phare de votre garde-robe de cycliste.,Castelli,,PERFETTO RoS 2 W VEST,TRUE,Size,"XS, S, M, L, XL",perfetto-ros-2-w-vest-m,160 g,deny,25,manual,,"104,97 €","139,95 €",TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4522546-883.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY2ODZ8aW1hZ2UvanBlZ3xoY2UvaDE5Lzg5NDk1NDc1NjUwODYvMDFfNDUyMjU0Nl84ODMuanBnfDIyNGQ3NGJkMGFhZDlkOTBiYjIwMDZmN2RiY2U0NDYzY2QwYjQwNTM0ZTU1NTAwNTQzZjQyYWFmNDFjODkyMjI,PERFETTO RoS 2 W VEST Image,https://castellicycling.kleecks-cdn.com/medias/01-4522546-883.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY2ODZ8aW1hZ2UvanBlZ3xoY2UvaDE5Lzg5NDk1NDc1NjUwODYvMDFfNDUyMjU0Nl84ODMuanBnfDIyNGQ3NGJkMGFhZDlkOTBiYjIwMDZmN2RiY2U0NDYzY2QwYjQwNTM0ZTU1NTAwNTQzZjQyYWFmNDFjODkyMjI
perfetto-ros-2w-wind-jersey,PERFETTO RoS 2W WIND JERSEY,"Porté simplement avec une couche de base, ce modèle constitue un maillot coupe-vent adapté aux températures douces. En alternative, vous pouvez le porter comme un gilet au-dessus d’un maillot, avec une protection accrue sur vos épaules. Protection contre le vent légère et respirante sur le devant et propriétés déperlantes sur l’intégralité du vêtement.",Castelli,,PERFETTO RoS 2W WIND JERSEY,TRUE,Size,"XS, S, M, L, XL",perfetto-ros-2w-wind-jersey-m,212 g,deny,25,manual,,"169,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4522545-414.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDYxODF8aW1hZ2UvanBlZ3xoNzIvaGI5Lzg5NDk1NDU1OTkwMDYvMDFfNDUyMjU0NV80MTQuanBnfGYwMDAwMzUwZTA2YTNiYTkxNjA2YzU1OTNlMTRlMDIwNzMxZTMyZGM4ZTRkYzdiYzk1NGYzYThmODgzNzdmZmQ,PERFETTO RoS 2W WIND JERSEY Image,https://castellicycling.kleecks-cdn.com/medias/01-4522545-414.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDYxODF8aW1hZ2UvanBlZ3xoNzIvaGI5Lzg5NDk1NDU1OTkwMDYvMDFfNDUyMjU0NV80MTQuanBnfGYwMDAwMzUwZTA2YTNiYTkxNjA2YzU1OTNlMTRlMDIwNzMxZTMyZGM4ZTRkYzdiYzk1NGYzYThmODgzNzdmZmQ
perfetto-ros-2-w-jacket,PERFETTO RoS 2 W JACKET,"Le maillot Gabba à manches longues est l’un de nos articles les plus polyvalents. 100 % de protection contre le vent avec protection contre la pluie GORE-TEX INFINIUM™ WINDSTOPPER® et respirabilité de pointe. Porté avec une couche de base légère, ce modèle est adapté aux températures douces, mais vous pouvez également le porter avec une couche thermique si la température descend en-dessous de zéro. Si vous devez n’avoir qu’une seule veste dans votre garde-robe de cycliste, c’est forcément celle-ci.",Castelli,,PERFETTO RoS 2 W JACKET,TRUE,Size,"XS, S, M, L, XL",perfetto-ros-2-w-jacket-m,306 g,deny,25,manual,,"219,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4522543-414.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY0NjJ8aW1hZ2UvanBlZ3xoOWYvaDA1Lzg5NDk1NDI0ODYwNDYvMDFfNDUyMjU0M180MTQuanBnfDFlYzA5ODhmM2Q1NDg3NmRjNDdhZDFiYmEwNGVjNzUxZDM4ODE5Njc1MGMzMjAzNjVhYWVkNTU4YWYxOGVkMzA,PERFETTO RoS 2 W JACKET Image,https://castellicycling.kleecks-cdn.com/medias/01-4522543-414.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY0NjJ8aW1hZ2UvanBlZ3xoOWYvaDA1Lzg5NDk1NDI0ODYwNDYvMDFfNDUyMjU0M180MTQuanBnfDFlYzA5ODhmM2Q1NDg3NmRjNDdhZDFiYmEwNGVjNzUxZDM4ODE5Njc1MGMzMjAzNjVhYWVkNTU4YWYxOGVkMzA
tempesta-lite-w-jacket,TEMPESTA LITE W JACKET,"La veste imperméable et compacte à emporter pour toutes vos sorties. Incroyablement respirante et légère, elle offre un parfait ajustement. Elle est idéale s'il risque de pleuvoir ou si vous souhaitez simplement une meilleure protection lors d'une longue descente.",Castelli,,TEMPESTA LITE W JACKET,TRUE,Size,"XS, S, M, L, XL",tempesta-lite-w-jacket-m,190 g,deny,25,manual,,"299,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4522091-008.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDYwNDB8aW1hZ2UvanBlZ3xoOTUvaDQ1LzkwMzgxNjM4Njk3MjYvMDFfNDUyMjA5MV8wMDguanBnfGNkMDQ3NzAwZjk2M2YxNDRhZjk2NjhiMzFhNzEyYTZlMGU0N2UyYmZkYzdhMjk2Y2MyZTE2ODcyZjZmYmFiMzY,TEMPESTA LITE W JACKET Image,https://castellicycling.kleecks-cdn.com/medias/01-4522091-008.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDYwNDB8aW1hZ2UvanBlZ3xoOTUvaDQ1LzkwMzgxNjM4Njk3MjYvMDFfNDUyMjA5MV8wMDguanBnfGNkMDQ3NzAwZjk2M2YxNDRhZjk2NjhiMzFhNzEyYTZlMGU0N2UyYmZkYzdhMjk2Y2MyZTE2ODcyZjZmYmFiMzY
emergency-2-w-rain-jacket,EMERGENCY 2 W RAIN JACKET,"La veste indispensable pour se protéger de la pluie, à porter tout au long de la journée ou lors d'une intempérie qui se range facilement dans une poche de maillot. Avec un style discret et une réflectivité sur 360 °, elle peut aussi servir de veste dans vos trajets maison-travail.",Castelli,,EMERGENCY 2 W RAIN JACKET,TRUE,Size,"XS, S, M, L, XL",emergency-2-w-rain-jacket-m,154 g,deny,25,manual,,"159,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4521550-790.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY2MTh8aW1hZ2UvanBlZ3xoM2EvaGVhLzkwMzgxNTgzMzE5MzQvMDFfNDUyMTU1MF83OTAuanBnfDBjNWM1OTdlZDVkOWRjNmEyNDgwOWE0ZTQ4NjAxZjE5MWQ4YmQ4NTQ0ZGE3YjNlMDE2OTFkNDExMGRhYTI2YjQ,EMERGENCY 2 W RAIN JACKET Image,https://castellicycling.kleecks-cdn.com/medias/01-4521550-790.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY2MTh8aW1hZ2UvanBlZ3xoM2EvaGVhLzkwMzgxNTgzMzE5MzQvMDFfNDUyMTU1MF83OTAuanBnfDBjNWM1OTdlZDVkOWRjNmEyNDgwOWE0ZTQ4NjAxZjE5MWQ4YmQ4NTQ0ZGE3YjNlMDE2OTFkNDExMGRhYTI2YjQ
aria-shell-w-jacket,ARIA SHELL W JACKET,"Un shell coupe-vent extrêmement léger et compact, près du corps, avec des panneaux respirants extensibles, qui vous permet de porter vos vêtements Castelli préférés dans de larges fourchettes de températures.",Castelli,,ARIA SHELL W JACKET,TRUE,Size,"XS, S, M, L, XL",aria-shell-w-jacket-m,101 g,deny,25,manual,,"119,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4520089-870.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY1NTV8aW1hZ2UvanBlZ3xoYzUvaGRkLzkwMzgxMjAwMjYxNDIvMDFfNDUyMDA4OV84NzAuanBnfDcxODBkZDA1YzdlMTQyMzZiMzEyZTYwN2YwYTRjNDNkZGE2ZjZhM2ZjYjYyZjY4NWNkM2IwMmQ2Y2EwNGQ2NjM,ARIA SHELL W JACKET Image,https://castellicycling.kleecks-cdn.com/medias/01-4520089-870.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY1NTV8aW1hZ2UvanBlZ3xoYzUvaGRkLzkwMzgxMjAwMjYxNDIvMDFfNDUyMDA4OV84NzAuanBnfDcxODBkZDA1YzdlMTQyMzZiMzEyZTYwN2YwYTRjNDNkZGE2ZjZhM2ZjYjYyZjY4NWNkM2IwMmQ2Y2EwNGQ2NjM
aria-w-vest,ARIA W VEST,"Notre shell coupe-vent le plus léger et compacte, avec coupe près du corps et dos respirant et stretch. Il bloque efficacement le vent sur le devant sans provoquer de surchauffe.",Castelli,,ARIA W VEST,TRUE,Size,"XS, S, M, L, XL",aria-w-vest-m,90 g,deny,25,manual,,"89,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4520088-232.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY3MzV8aW1hZ2UvanBlZ3xoMDUvaDEyLzkwMzgxMTkyNzI0NzgvMDFfNDUyMDA4OF8yMzIuanBnfGI5YjIzMWIwNTVmZGNjNDZkNGZlMzA0N2NkMDQzMTAyNTM4NzNmYmU3ZjE4NDRlNWNjNGNiNWU3NzY0MWRiOWU,ARIA W VEST Image,https://castellicycling.kleecks-cdn.com/medias/01-4520088-232.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY3MzV8aW1hZ2UvanBlZ3xoMDUvaDEyLzkwMzgxMTkyNzI0NzgvMDFfNDUyMDA4OF8yMzIuanBnfGI5YjIzMWIwNTVmZGNjNDZkNGZlMzA0N2NkMDQzMTAyNTM4NzNmYmU3ZjE4NDRlNWNjNGNiNWU3NzY0MWRiOWU
squadra-stretch-w-jacket,SQUADRA STRETCH W JACKET,Le shell Squadra Stretch protège du vent quand vous sortez par temps frais ou que vous abordez une longue descente et ses panneaux extensibles lui offrent un bon ajustement et éliminent les tissus qui pourraient flotter au vent.,Castelli,,SQUADRA STRETCH W JACKET,TRUE,Size,"XS, S, M, L, XL",squadra-stretch-w-jacket-m,126 g,deny,25,manual,,"74,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4521529-383.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDcwMTJ8aW1hZ2UvanBlZ3xoNGQvaDY1LzkwMzgxNTIwNDA0NzgvMDFfNDUyMTUyOV8zODMuanBnfDUwMzI0NmNiZGVjNjg4OTNkZmIzZjRiOTkzN2EyNDIxZGYxNzczM2NhYmZiOGQxMzM1Y2UzN2I5NDRhNzk5NjQ,SQUADRA STRETCH W JACKET Image,https://castellicycling.kleecks-cdn.com/medias/01-4521529-383.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDcwMTJ8aW1hZ2UvanBlZ3xoNGQvaDY1LzkwMzgxNTIwNDA0NzgvMDFfNDUyMTUyOV8zODMuanBnfDUwMzI0NmNiZGVjNjg4OTNkZmIzZjRiOTkzN2EyNDIxZGYxNzczM2NhYmZiOGQxMzM1Y2UzN2I5NDRhNzk5NjQ
insider-w-sleeveless,INSIDER W SLEEVELESS,"Camisole, couche de base, parfaite pour les entraînements intérieurs à haute intensité lors de vos entraînements sur Zwift ou Peloton, ou à la salle d’entraînement. Confort et respirabilité garantis.",Castelli,,INSIDER W SLEEVELESS,TRUE,Size,"XS, S, M, L, XL",insider-w-sleeveless-m,64 g,deny,25,manual,,"64,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4522556-421.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY5NjB8aW1hZ2UvanBlZ3xoMjcvaGUyLzkwMzgxOTA1NzU2NDYvMDFfNDUyMjU1Nl80MjEuanBnfGUzNjc0ZTZlMjhjNDY5MWMxYWYxNmU5ZWMwNmEyMjVkN2NhYzNmNDM0MmEzYTBlMDdkNTk4NTc1MzQyMWEwNWM,INSIDER W SLEEVELESS Image,https://castellicycling.kleecks-cdn.com/medias/01-4522556-421.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY5NjB8aW1hZ2UvanBlZ3xoMjcvaGUyLzkwMzgxOTA1NzU2NDYvMDFfNDUyMjU1Nl80MjEuanBnfGUzNjc0ZTZlMjhjNDY5MWMxYWYxNmU5ZWMwNmEyMjVkN2NhYzNmNDM0MmEzYTBlMDdkNTk4NTc1MzQyMWEwNWM
insider-w-short,INSIDER W SHORT,Le cuissard le plus léger et le plus respirant pour vos entraînements intérieurs.,Castelli,,INSIDER W SHORT,TRUE,Size,"XS, S, M, L, XL",insider-w-short-m,141 g,deny,25,manual,,"99,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4522557-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY1NzZ8aW1hZ2UvanBlZ3xoZjYvaGViLzkwMzgxOTA4Mzc3OTAvMDFfNDUyMjU1N18wMTAuanBnfGNkZDFkZTAzNTI1M2U2ODM3YmFkY2M5YWMzMTViZjJlZWUyNmIxMDM4NzJiY2FmYzM5YjFmOGNjOTEzZWQ1MWE,INSIDER W SHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4522557-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY1NzZ8aW1hZ2UvanBlZ3xoZjYvaGViLzkwMzgxOTA4Mzc3OTAvMDFfNDUyMjU1N18wMTAuanBnfGNkZDFkZTAzNTI1M2U2ODM3YmFkY2M5YWMzMTViZjJlZWUyNmIxMDM4NzJiY2FmYzM5YjFmOGNjOTEzZWQ1MWE
